"","Date","Contributors","Ocean","Province","Country","Location","Lat_locat_center","Lon_locat_center","Local_census","Length_m","Area_m2","Site","Lat_site","Lon_site","Depth_m","Mesozones2_30m","Trash_group","Trash_count","MPA","Managed_area","Site_split_MPA","Nearest_MPA_Lat","Nearest_MPA_Lon","Nearest_Market_Lat","Nearest_Market_Lon","Dist_MPA","Dist_Market","Pop10Km","Pop100Km","Coral_reef_Km2","Economic.status1","Coastal.population2","Waste.generation.rate..kg.person.day.3","X..Plastic.in.waste.stream4","X..Inadequately.managed.waste5","X..Littered.waste6","Waste.generation..kg.day.7","Plastic.waste.generation..kg.day.7","Inadequately.managed.plastic.waste..kg.day.7","Plastic.waste.littered...kg.day.7","Mismanaged.plastic.waste..kg.person.day.7","Mismanaged_2010","Mismanaged.plastic.waste.in.2025...tonnes.7","Mismanaged_plastic_pop10Km_2010_Tons","Mismanaged_plastic_pop100Km_2010_Tons","ID_transect","Complexity_3pt","Lat","Lon","Depth_m.1","Mesophotic.zones2","Size_1","Size_2","Size_3","Size_4","Size_5","Managed_Area","Coastline_km","Trash_per_m2","Meso_zone2","Meso_zone3","Reefarea_pop100"
"1","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"16",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,12.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"899","low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"2","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"17",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,12.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"900","intermediate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"3","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"18",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,10.6,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"901","low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"4","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"19",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,7,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"902","low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"5","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"20",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,7.6,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"903","intermediate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"6","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"21",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"904","high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"7","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"22",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,5.2,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"905","intermediate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"8","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"23",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,4.2,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,0,12,2905,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.50638125,4.72355625,"906","low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"9","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"31",20,40,"ponta_norte",-3.808983333,-32.36773889,10.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,0,7.1,3045,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.72355625,4.72355625,"914","high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
"10","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"32",20,40,"ponta_norte",-3.808983333,-32.36773889,10.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,0,7.1,3045,3045,82.808465,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,NA,954198,4.72355625,4.72355625,"915","high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Shallow","Shallow",0.0271948981937603
