"","Date","Contributors","Ocean","Province","Country","Location","Lat_locat_center","Lon_locat_center","Local_census","Length_m","Area_m2","Site","Lat_site","Lon_site","Depth_m","Mesozones2_30m","Trash_group","Trash_count","MPA","Managed_area","Site_split_MPA","Nearest_MPA_Lat","Nearest_MPA_Lon","Nearest_Market_Lat","Nearest_Market_Lon","Economic.status1","Coastal.population2","Waste.generation.rate..kg.person.day.3","X..Plastic.in.waste.stream4","X..Inadequately.managed.waste5","X..Littered.waste6","Waste.generation..kg.day.7","Plastic.waste.generation..kg.day.7","Inadequately.managed.plastic.waste..kg.day.7","Plastic.waste.littered...kg.day.7","Mismanaged.plastic.waste..kg.person.day.7","Mismanaged.plastic.waste.in.2025...tonnes.7","ID_transect","Complexity_3pt","Lat","Lon","Depth_m.1","Mesophotic.zones2","Managed_Area","Trash_per_m2","Meso_zone2","Meso_zone3","Coastline_km","Depth_m_scaled","Dist_MPA","Dist_Market","Mismanaged_2010","Mismanaged_pop100Km_2010","Mismanaged_plastic_pop10Km_2010_Tons","Pop10Km","Pop100Km","Reefarea_pop100","Coral_reef_Km2"
"1","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"16",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,12.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"899","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-0.884223843341032,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"2","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"17",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,12.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"900","intermediate",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-0.884223843341032,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"3","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"18",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,10.6,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"901","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-0.925160716424408,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"4","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"19",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,7,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"902","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.02340921182451,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"5","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"20",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,7.6,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"903","intermediate",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.00703446259116,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"6","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"21",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"904","high",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.04797133567454,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"7","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"22",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,5.2,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"905","intermediate",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.07253345952456,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"8","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"23",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,4.2,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"906","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.09982470824681,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"9","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"31",20,40,"ponta_norte",-3.808983333,-32.36773889,10.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"914","high",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-0.925160716424408,-0.350259138992775,-0.717590745316094,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"10","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"32",20,40,"ponta_norte",-3.808983333,-32.36773889,10.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"915","high",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-0.925160716424408,-0.350259138992775,-0.717590745316094,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
