"","Country","Location","Site","Local_census","Depth_m","Complexity_3pt","Mesozone3","Size_1_fishing","Size_1_other","Size_1_plastics","Size_2_fishing","Size_2_other","Size_2_plastics","Size_3_fishing","Size_3_other","Size_3_plastics","Size_4_fishing","Size_4_other","Size_4_plastics","Size_5_fishing","Size_5_other","Size_5_plastics"
"1","Australia","Coral_sea","Bougainville_NW_1","1",65.5,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"2","Australia","Coral_sea","Bougainville_NW_1","10",54.7,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3","Australia","Coral_sea","Bougainville_NW_1","11",47.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4","Australia","Coral_sea","Bougainville_NW_1","12",54.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"5","Australia","Coral_sea","Bougainville_NW_1","13",45,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6","Australia","Coral_sea","Bougainville_NW_1","14",43.9,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7","Australia","Coral_sea","Bougainville_NW_1","15",36.7,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"8","Australia","Coral_sea","Bougainville_NW_1","16",36.4,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9","Australia","Coral_sea","Bougainville_NW_1","17",35.5,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Australia","Coral_sea","Bougainville_NW_1","18",27.3,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"11","Australia","Coral_sea","Bougainville_NW_1","18",27.3,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12","Australia","Coral_sea","Bougainville_NW_1","19",22.3,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Australia","Coral_sea","Bougainville_NW_1","2",66.7,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14","Australia","Coral_sea","Bougainville_NW_1","3",66.3,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Australia","Coral_sea","Bougainville_NW_1","4",67.7,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Australia","Coral_sea","Bougainville_NW_1","5",67.3,"high","Lower",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17","Australia","Coral_sea","Bougainville_NW_1","6",58.1,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Australia","Coral_sea","Bougainville_NW_1","7",57.9,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Australia","Coral_sea","Bougainville_NW_1","8",57.8,"high","Upper",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20","Australia","Coral_sea","Bougainville_NW_1","9",57.4,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Australia","Coral_sea","Bougainville_SW_2","1",67.2,"intermediate","Lower",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"22","Australia","Coral_sea","Bougainville_SW_2","10",52.1,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Australia","Coral_sea","Bougainville_SW_2","11",47.8,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Australia","Coral_sea","Bougainville_SW_2","12",46.9,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Australia","Coral_sea","Bougainville_SW_2","13",46,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Australia","Coral_sea","Bougainville_SW_2","14",45.4,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Australia","Coral_sea","Bougainville_SW_2","15",44.9,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Australia","Coral_sea","Bougainville_SW_2","16",37.8,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Australia","Coral_sea","Bougainville_SW_2","17",35.2,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Australia","Coral_sea","Bougainville_SW_2","18",33.5,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Australia","Coral_sea","Bougainville_SW_2","19",34.6,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Australia","Coral_sea","Bougainville_SW_2","2",67.1,"high","Lower",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"33","Australia","Coral_sea","Bougainville_SW_2","20",31.6,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Australia","Coral_sea","Bougainville_SW_2","21",28.6,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Australia","Coral_sea","Bougainville_SW_2","22",27.6,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Australia","Coral_sea","Bougainville_SW_2","23",25.1,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Australia","Coral_sea","Bougainville_SW_2","24",24,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Australia","Coral_sea","Bougainville_SW_2","25",22.7,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Australia","Coral_sea","Bougainville_SW_2","26",15.3,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Australia","Coral_sea","Bougainville_SW_2","27",14.1,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Australia","Coral_sea","Bougainville_SW_2","3",64.4,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Australia","Coral_sea","Bougainville_SW_2","4",63.8,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Australia","Coral_sea","Bougainville_SW_2","5",63,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Australia","Coral_sea","Bougainville_SW_2","6",58.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Australia","Coral_sea","Bougainville_SW_2","7",58.2,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Australia","Coral_sea","Bougainville_SW_2","8",55.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Australia","Coral_sea","Bougainville_SW_2","9",53.7,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
