,Date,Contributors,Ocean,Province,Country,Location,Lat_locat_center,Lon_locat_center,Local_census,Length_m,Area_m2,Site,Lat_site,Lon_site,Depth_m,Mesozones2_30m,Trash_group,Trash_count,MPA,Managed_area,Site_split_MPA,Nearest_MPA_Lat,Nearest_MPA_Lon,Nearest_Market_Lat,Nearest_Market_Lon,Mismanaged.plastic.waste..kg.person.day.7,ID_transect,Complexity_3pt,Trash_per_m2,Meso_zone2,Meso_zone3,Depth_m_scaled,Dist_MPA,Dist_Market,Mismanaged_2010,Mismanaged_plastic_pop100Km_2010_Tons,Mismanaged_plastic_pop10Km_2010_Tons,Pop10Km,Pop100Km,Reefarea_pop100,Coral_reef_km2
1,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,16,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,12.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,899,low,0,Shallow,Shallow,-0.880973226,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
2,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,17,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,12.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,900,intermediate,0,Shallow,Shallow,-0.880973226,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
3,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,18,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,10.6,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,901,low,0,Shallow,Shallow,-0.922911389,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
4,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,19,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,7,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,902,low,0,Shallow,Shallow,-1.023562979,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
5,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,20,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,7.6,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,903,intermediate,0,Shallow,Shallow,-1.006787714,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
6,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,21,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,6.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,904,high,0,Shallow,Shallow,-1.048725876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
7,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,22,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,5.2,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,905,intermediate,0,Shallow,Shallow,-1.073888774,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
8,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,23,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,4.2,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,906,low,0,Shallow,Shallow,-1.101847549,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
9,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,31,20,40,ponta_norte,-3.808983333,-32.36773889,10.6,Shallow,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,914,high,0,Shallow,Shallow,-0.922911389,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
10,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,32,20,40,ponta_norte,-3.808983333,-32.36773889,10.6,Shallow,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,915,high,0,Shallow,Shallow,-0.922911389,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
11,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,33,20,40,ponta_norte,-3.808983333,-32.36773889,7.6,Shallow,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,916,high,0,Shallow,Shallow,-1.006787714,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
12,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,34,20,40,ponta_norte,-3.808983333,-32.36773889,7.6,Shallow,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,917,high,0,Shallow,Shallow,-1.006787714,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
13,10_27_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,35,20,40,ponta_norte,-3.808983333,-32.36773889,7.6,Shallow,fishing,0,yes,National Park,0,-3.808983333,-32.36773889,-3.846543,-32.413243,0.017,918,high,0,Shallow,Shallow,-1.006787714,-0.375487038,-0.682549316,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
14,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,45,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,6.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,928,low,0,Shallow,Shallow,-1.048725876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
15,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,46,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,6.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,929,low,0,Shallow,Shallow,-1.048725876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
16,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,47,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,6.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,930,low,0,Shallow,Shallow,-1.048725876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
17,10_23_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,48,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,6.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,931,low,0,Shallow,Shallow,-1.048725876,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
18,10_26_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,50,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,9.1,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,933,intermediate,0,Shallow,Shallow,-0.964849551,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
19,10_26_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,51,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,7.6,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,934,intermediate,0,Shallow,Shallow,-1.006787714,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
20,10_26_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,52,20,40,sapata_(hudsons_wall),-3.886488889,-32.47448889,6.7,Shallow,fishing,0,yes,National Park,0,-3.886488889,-32.47448889,-3.846543,-32.413243,0.017,935,low,0,Shallow,Shallow,-1.031950611,-0.375487038,-0.657813593,0.526814442,-0.316491284,-0.39113442,-0.49621974,-0.315014181,-0.479810423,-0.733693457
21,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,1,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,49.1,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,884,high,0,MCE,Upper,0.153501449,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
22,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,2,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,49.1,MCE,fishing,1,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,885,high,0.025,MCE,Upper,0.153501449,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
23,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,3,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,49.1,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,886,high,0,MCE,Upper,0.153501449,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
24,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,4,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,49.1,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,887,high,0,MCE,Upper,0.153501449,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
25,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,5,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,42.4,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,888,high,0,MCE,Upper,-0.033822344,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
26,10_16_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,6,20,40,cabeco_2_irmaos,-3.845641667,-32.44825833,42.4,MCE,fishing,0,yes,National Park,0,-3.845641667,-32.44825833,-3.846543,-32.413243,0.017,889,high,0,MCE,Upper,-0.033822344,-0.375487038,-0.691635908,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
27,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,7,20,40,corveta_ipiranga,-3.860597222,-32.46149167,54.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,890,low,0,MCE,Upper,0.304478834,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
28,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,8,20,40,corveta_ipiranga,-3.860597222,-32.46149167,54.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,891,low,0,MCE,Upper,0.304478834,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
29,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,9,20,40,corveta_ipiranga,-3.860597222,-32.46149167,51.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,892,high,0,MCE,Upper,0.220602509,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
30,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,10,20,40,corveta_ipiranga,-3.860597222,-32.46149167,51.5,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,893,intermediate,0,MCE,Upper,0.220602509,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
31,10_20_2019,CAS,Atlantic,SWA,Brazil,Fernando_de_Noronha,-3.855304514,-32.44588299,11,20,40,corveta_ipiranga,-3.860597222,-32.46149167,47,MCE,fishing,0,yes,National Park,0,-3.860597222,-32.46149167,-3.846543,-32.413243,0.017,894,high,0,MCE,Upper,0.094788021,-0.375487038,-0.680025262,0.526814442,-0.316491284,-0.390442523,-0.493520098,-0.315014181,-0.479810423,-0.733693457
